ESTADO,MÊS,PRODUTO,REGIÃO,PREÇO PONDERADO POR MÊS,PREÇO MÁXIMO PONDERADO,PREÇO MÍNIMO PONDERADO
GOIAS,2019-03-31,GLP,CENTRO OESTE,71.30829733072247,74.77129650623519,68.02968154179119
GOIAS,2019-07-31,ÓLEO DIESEL S10,CENTRO OESTE,3.6848186051794647,3.840814629713766,3.522661441768893
MINAS GERAIS,2019-07-31,GNV,SUDESTE,2.5258033794162826,2.5258033794162826,2.5258033794162826
RIO DE JANEIRO,2019-07-31,GASOLINA COMUM,SUDESTE,4.86539112518835,5.098100172207017,4.666707171192227
RORAIMA,2019-02-28,GLP,NORTE,84.45839285714285,85.07142857142857,83.14285714285714
AMAZONAS,2019-03-31,GLP,NORTE,75.04214573732719,79.65841013824884,69.63882488479263
ESPIRITO SANTO,2019-04-30,ETANOL HIDRATADO,SUDESTE,3.607607529843894,3.7643410468319556,3.471348943985308
GOIAS,2019-03-31,ÓLEO DIESEL,CENTRO OESTE,3.5593062023784086,3.7097109235918246,3.42624773908709
PARAIBA,2019-06-30,ÓLEO DIESEL S10,NORDESTE,3.692437112403101,3.807338856589147,3.600155426356589
RIO GRANDE DO NORTE,2019-05-31,ÓLEO DIESEL S10,NORDESTE,3.886315748207885,3.9628774641577063,3.7991509856630823
SANTA CATARINA,2019-02-28,ETANOL HIDRATADO,SUL,3.447140622413508,3.671283520940242,3.2068167108094685
SAO PAULO,2019-01-31,GLP,SUDESTE,67.69235501005883,73.47539553096026,62.257946158288554
AMAPA,2019-02-28,ETANOL HIDRATADO,NORTE,2.436071428571428,2.436071428571428,2.436071428571428
AMAZONAS,2019-05-31,ÓLEO DIESEL,NORTE,3.8512188086704215,3.9866390168970813,3.7002080559822494
PARA,2019-08-31,ÓLEO DIESEL S10,NORTE,3.9029245283018867,4.0865,3.7213207547169813
RIO GRANDE DO SUL,2019-01-31,GASOLINA COMUM,SUL,4.42060732181387,4.572711014818381,4.289504092441021
RONDONIA,2019-05-31,GASOLINA COMUM,NORTE,4.78111195974481,4.915328870518464,4.669286368945996
SANTA CATARINA,2019-08-31,GLP,SUL,70.76891,74.196,68.03800000000001
ACRE,2019-06-30,ÓLEO DIESEL S10,NORTE,4.55841131498471,4.688403669724771,4.421614678899083
DISTRITO FEDERAL,2019-01-31,ETANOL HIDRATADO,CENTRO OESTE,3.267129032258065,3.505677419354839,3.0328709677419354
ESPIRITO SANTO,2019-03-31,ÓLEO DIESEL,SUDESTE,3.49824780058651,3.622765249266862,3.3722598240469206
PERNAMBUCO,2019-05-31,ETANOL HIDRATADO,NORDESTE,3.7018190967741935,3.8313761474654373,3.5609359631336406
RIO GRANDE DO NORTE,2019-01-31,GLP,NORDESTE,66.73001950487621,69.92348087021755,63.747186796699175
RIO GRANDE DO SUL,2019-04-30,ÓLEO DIESEL S10,SUL,3.6140642841238035,3.7727155199287457,3.4669859496771314
RORAIMA,2019-08-31,ETANOL HIDRATADO,NORTE,3.743,3.85,3.69
TOCANTINS,2019-06-30,GLP,NORTE,80.11756565464894,84.76660341555976,73.58355471220747
AMAPA,2019-03-31,GLP,NORTE,77.95484516129032,82.09032258064516,73.1032258064516
CEARA,2019-03-31,GASOLINA COMUM,NORDESTE,4.5574461673707605,4.607602549388293,4.419839295743693
GOIAS,2019-04-30,GLP,CENTRO OESTE,71.69999362041469,74.88068899521531,68.82089314194576
GOIAS,2019-04-30,ÓLEO DIESEL S10,CENTRO OESTE,3.711677371428571,3.8851295619047623,3.5437002666666664
PARA,2019-06-30,ÓLEO DIESEL S10,NORTE,3.970246865203762,4.1452226750261225,3.7686015151515146
RIO DE JANEIRO,2019-03-31,GLP,SUDESTE,65.04013410276222,71.03298242225226,60.10633716438091
SANTA CATARINA,2019-08-31,ETANOL HIDRATADO,SUL,3.5376835443037975,3.7171645569620253,3.3035886075949366
SERGIPE,2019-01-31,GLP,NORDESTE,69.79099131513648,74.50372208436725,65.7940446650124
TOCANTINS,2019-03-31,ÓLEO DIESEL,NORTE,3.549663642473118,3.8910625,3.3272044690860216
ACRE,2019-06-30,GASOLINA COMUM,NORTE,5.104640170940171,5.2183760683760685,4.961880341880342
CEARA,2019-02-28,GASOLINA COMUM,NORDESTE,4.287221428571429,4.4537809849967385,4.130356131767776
CEARA,2019-08-31,GLP,NORDESTE,71.96186259541984,75.30534351145039,68.86137404580153
GOIAS,2019-08-31,ÓLEO DIESEL,CENTRO OESTE,3.5348431372549016,3.692444444444444,3.395986928104575
MATO GROSSO,2019-07-31,ÓLEO DIESEL S10,CENTRO OESTE,3.9505757202659435,4.101834031026841,3.737059837478454
MATO GROSSO DO SUL,2019-05-31,GNV,CENTRO OESTE,2.2684838709677417,2.286451612903226,2.256741935483871
PARAIBA,2019-03-31,GLP,NORDESTE,67.99963357156655,69.56268108943404,66.78307900328375
PERNAMBUCO,2019-02-28,GNV,NORDESTE,2.278282407407407,2.278351851851851,2.278143518518518
SANTA CATARINA,2019-03-31,ÓLEO DIESEL S10,SUL,3.5244956356736243,3.7178960388994304,3.344833918406072
SANTA CATARINA,2019-05-31,GLP,SUL,71.05599365202747,74.41922528824976,68.20984259619122
ALAGOAS,2019-08-31,ÓLEO DIESEL S10,NORDESTE,3.796266666666667,3.912088888888889,3.6213333333333337
DISTRITO FEDERAL,2019-04-30,ÓLEO DIESEL,CENTRO OESTE,3.7267666666666672,3.948,3.473666666666667
DISTRITO FEDERAL,2019-07-31,GNV,CENTRO OESTE,0.8573870967741936,0.8573870967741936,0.8573870967741936
MATO GROSSO DO SUL,2019-01-31,GASOLINA COMUM,CENTRO OESTE,4.100446993965582,4.267263800938687,3.989035387022275
PARANA,2018-12-31,GASOLINA COMUM,SUL,4.208907608695652,4.427535326086955,4.0792690217391305
PERNAMBUCO,2018-12-31,GNV,NORDESTE,2.768307692307692,2.768307692307692,2.768307692307692
ESPIRITO SANTO,2019-04-30,GNV,SUDESTE,2.6357226666666667,2.6533006666666665,2.627906666666666
MATO GROSSO DO SUL,2019-03-31,GASOLINA COMUM,CENTRO OESTE,4.07351526387344,4.2218409343715235,3.9458143616363865
RIO GRANDE DO SUL,2019-05-31,ÓLEO DIESEL,SUL,3.5549663517462484,3.6798583425539757,3.4502965642466017
DISTRITO FEDERAL,2019-07-31,GLP,CENTRO OESTE,73.70812903225807,95.0,63.225806451612904
PIAUI,2019-05-31,GASOLINA COMUM,NORDESTE,4.822421726755218,4.938686432637571,4.622885673624288
RIO GRANDE DO NORTE,2019-03-31,ETANOL HIDRATADO,NORDESTE,3.4000999279149395,3.537208145611822,3.2343165435213552
SAO PAULO,2019-08-31,GLP,SUDESTE,67.24053883972468,73.17128810226158,61.603117010816106
SAO PAULO,2019-08-31,GNV,SUDESTE,3.175658536585366,3.2148780487804873,3.0854878048780483
SERGIPE,2018-12-31,ÓLEO DIESEL S10,NORDESTE,3.572075,3.78565,3.444025
ACRE,2019-03-31,ÓLEO DIESEL,NORTE,4.401602922030956,4.578501374222479,4.260713149139303
ACRE,2019-07-31,GASOLINA COMUM,NORTE,4.931307692307692,5.103540115798181,4.795070306038047
DISTRITO FEDERAL,2019-05-31,ÓLEO DIESEL S10,CENTRO OESTE,3.890548387096774,4.153903225806451,3.6879032258064512
MARANHAO,2019-06-30,GASOLINA COMUM,NORDESTE,4.581738055937644,4.710399266391563,4.477495002292526
RIO GRANDE DO NORTE,2019-05-31,GNV,NORDESTE,3.586765941485371,3.614921980495123,3.568859714928732
RIO GRANDE DO SUL,2018-12-31,ÓLEO DIESEL S10,SUL,3.5050927152317883,3.7038145695364224,3.309225165562915
PARA,2019-05-31,ÓLEO DIESEL S10,NORTE,3.975413676452821,4.138578168418509,3.777586142322098
SANTA CATARINA,2019-03-31,GASOLINA COMUM,SUL,4.058328290791324,4.202184727489667,3.9063805343674094
ACRE,2019-07-31,GLP,NORTE,79.75382795698924,84.11827956989248,76.85185185185185
AMAPA,2019-03-31,ÓLEO DIESEL S10,NORTE,4.63215,4.885387096774193,4.386370967741935
AMAZONAS,2019-03-31,ETANOL HIDRATADO,NORTE,3.349591306724986,3.5913023510114814,3.213264078731547
BAHIA,2019-06-30,ÓLEO DIESEL,NORDESTE,3.659246943573668,3.8104804075235115,3.5114442267502617
RIO DE JANEIRO,2019-04-30,ÓLEO DIESEL S10,SUDESTE,3.7136980572597134,3.981569672801636,3.494856175869121
SANTA CATARINA,2019-02-28,GASOLINA COMUM,SUL,3.9726843071880653,4.105578181509947,3.8399846010397827
ESPIRITO SANTO,2019-02-28,ETANOL HIDRATADO,SUDESTE,3.5033769728854716,3.636478146499393,3.3444989882638607
PARAIBA,2019-07-31,ÓLEO DIESEL S10,NORDESTE,3.61081931124673,3.7860531822144727,3.499901918047079
PARANA,2019-01-31,ÓLEO DIESEL S10,SUL,3.337549241317298,3.5839474654377885,3.1386254692593005
SANTA CATARINA,2019-01-31,GASOLINA COMUM,SUL,4.021689040431129,4.1720871197609375,3.896742012106352
ACRE,2019-01-31,GASOLINA COMUM,NORTE,4.819520264681555,5.0572679900744415,4.672142266335815
AMAPA,2019-06-30,ETANOL HIDRATADO,NORTE,0.13166666666666668,0.13166666666666668,0.13166666666666668
DISTRITO FEDERAL,2019-04-30,GLP,CENTRO OESTE,73.54113333333333,95.00000000000001,65.0
PARANA,2019-06-30,GASOLINA COMUM,SUL,4.346036525949463,4.532331487365713,4.2057919655015885
TOCANTINS,2019-08-31,ÓLEO DIESEL,NORTE,3.5620000000000003,3.9423666666666666,3.304433333333333
ESPIRITO SANTO,2019-06-30,ETANOL HIDRATADO,SUDESTE,3.668500373692078,3.8327744394618835,3.4846644245142007
PERNAMBUCO,2019-04-30,GASOLINA COMUM,NORDESTE,4.4031559139784955,4.521212729795352,4.302383385362471
RONDONIA,2019-08-31,GLP,NORTE,78.60854385964913,85.52631578947368,73.6140350877193
AMAZONAS,2019-04-30,ÓLEO DIESEL S10,NORTE,3.87902966507177,4.04471307814992,3.7760433811802234
PARAIBA,2018-12-31,ÓLEO DIESEL S10,NORDESTE,3.617298245614035,3.76219298245614,3.4557543859649122
RIO DE JANEIRO,2019-02-28,ETANOL HIDRATADO,SUDESTE,3.6154565435776638,4.002874757516975,3.174433057364556
RONDONIA,2018-12-31,GLP,NORTE,77.88670175438597,88.17543859649123,72.87228070175439
RONDONIA,2018-12-31,ÓLEO DIESEL,NORTE,3.7140149253731347,3.9258358208955224,3.5255223880597013
AMAPA,2019-07-31,GASOLINA COMUM,NORTE,3.921594470046083,4.556999999999999,3.6818894009216585
AMAZONAS,2019-07-31,ETANOL HIDRATADO,NORTE,3.299925,3.4777935483870963,3.172706129032258
BAHIA,2019-08-31,ÓLEO DIESEL,NORDESTE,3.55665238095238,3.7522238095238096,3.3802571428571415
CEARA,2018-12-31,ÓLEO DIESEL S10,NORDESTE,3.765865740740741,3.9236851851851853,3.598773148148148
MATO GROSSO,2019-05-31,ÓLEO DIESEL S10,CENTRO OESTE,4.034840624102612,4.252030152196802,3.804084091126639
MINAS GERAIS,2018-12-31,ÓLEO DIESEL,SUDESTE,3.457473404255319,3.6466276595744684,3.3145239361702137
PERNAMBUCO,2019-06-30,ÓLEO DIESEL,NORDESTE,3.7312679487179485,3.8362128205128205,3.6478487179487176
BAHIA,2019-01-31,ÓLEO DIESEL S10,NORDESTE,3.57065605298663,3.7959394088065737,3.3748761928124615
DISTRITO FEDERAL,2019-01-31,ÓLEO DIESEL,CENTRO OESTE,3.6630000000000003,3.8990000000000005,3.386838709677419
DISTRITO FEDERAL,2019-01-31,ÓLEO DIESEL S10,CENTRO OESTE,3.7846774193548387,3.989967741935484,3.4849032258064514
PARAIBA,2019-01-31,ETANOL HIDRATADO,NORDESTE,3.023702424767266,3.248848127300281,2.912488092660749
PIAUI,2019-02-28,ÓLEO DIESEL S10,NORDESTE,3.609945020279405,3.754246620099144,3.4926597566471385
RIO DE JANEIRO,2019-05-31,GLP,SUDESTE,64.70332865615507,70.95164183422537,59.876386518154206
SAO PAULO,2019-03-31,GNV,SUDESTE,2.522367169012331,2.6446405529953925,2.4241401170756016
ALAGOAS,2019-02-28,ÓLEO DIESEL S10,NORDESTE,3.7625231975967957,3.9172600133511346,3.6010856141522027
MATO GROSSO,2019-04-30,GLP,CENTRO OESTE,95.55679929824564,105.27811228070176,89.95438596491229
MATO GROSSO DO SUL,2019-04-30,ÓLEO DIESEL,CENTRO OESTE,3.6499480503144657,3.791690062893082,3.5291267924528302
PARANA,2019-01-31,ÓLEO DIESEL,SUL,3.246108345664398,3.442001154187629,3.0922063332346843
PIAUI,2019-01-31,ÓLEO DIESEL,NORDESTE,3.581705041529844,3.72987058141781,3.4862731311570405
SERGIPE,2019-05-31,GLP,NORDESTE,70.0979317617866,75.8225806451613,66.41935483870968
ALAGOAS,2019-04-30,GASOLINA COMUM,NORDESTE,4.616200118203309,4.849096690307329,4.447776477541371
BAHIA,2019-07-31,GLP,NORDESTE,62.96130943847073,67.099874067616,59.62930672608092
DISTRITO FEDERAL,2019-07-31,ETANOL HIDRATADO,CENTRO OESTE,3.1207096774193555,3.6183548387096773,2.9531935483870972
GOIAS,2019-08-31,GASOLINA COMUM,CENTRO OESTE,4.395973333333333,4.610982222222221,4.25244
MATO GROSSO,2019-06-30,ETANOL HIDRATADO,CENTRO OESTE,2.5226135416666664,2.6900539583333334,2.3656364583333334
RORAIMA,2019-05-31,ETANOL HIDRATADO,NORTE,3.7593870967741934,3.8393548387096774,3.6899999999999995
SAO PAULO,2019-04-30,GNV,SUDESTE,2.568015044247787,2.6606910029498527,2.487617256637168
ACRE,2019-07-31,ÓLEO DIESEL,NORTE,4.417204474505723,4.560156087408949,4.240332986472424
DISTRITO FEDERAL,2019-08-31,ÓLEO DIESEL S10,CENTRO OESTE,3.784,4.129,3.249
MATO GROSSO,2019-02-28,GLP,CENTRO OESTE,96.36537443609025,104.5209097744361,90.71052631578948
RIO GRANDE DO SUL,2019-08-31,ÓLEO DIESEL S10,SUL,3.5832651006711402,3.751006711409396,3.434714765100671
RONDONIA,2019-03-31,ÓLEO DIESEL S10,NORTE,3.8669742604044792,4.017665552398462,3.7248886846063844
SANTA CATARINA,2019-05-31,GNV,SUL,2.7675556173526132,2.7938456618464964,2.740398498331479
AMAPA,2019-08-31,ÓLEO DIESEL S10,NORTE,4.683714285714285,4.89,4.4157142857142855
BAHIA,2018-12-31,ÓLEO DIESEL,NORDESTE,3.5092475728155343,3.6995436893203877,3.3323737864077674
DISTRITO FEDERAL,2018-12-31,ETANOL HIDRATADO,CENTRO OESTE,3.32,3.4989999999999997,3.099
GOIAS,2019-06-30,GASOLINA COMUM,CENTRO OESTE,4.631147943880019,4.7897080793420415,4.510025253991291
MARANHAO,2019-07-31,GNV,NORDESTE,0.6772258064516129,0.6772258064516129,0.6772258064516129
MATO GROSSO DO SUL,2019-08-31,ÓLEO DIESEL,CENTRO OESTE,3.565952380952381,3.7155079365079366,3.418873015873016
PARA,2019-06-30,ETANOL HIDRATADO,NORTE,3.9095833914053424,4.069387456445993,3.744726364692218
PARA,2019-07-31,GASOLINA COMUM,NORTE,4.696235489600642,4.860163295708474,4.567653068240416
PIAUI,2019-05-31,ÓLEO DIESEL S10,NORDESTE,3.8166712199222443,3.884070925711884,3.710183671324997
RIO DE JANEIRO,2019-07-31,GNV,SUDESTE,3.1687223051314426,3.296775398920905,3.0684193548387104
RIO GRANDE DO SUL,2019-08-31,GLP,SUL,70.38388770053477,77.02673796791444,65.35056149732621
RONDONIA,2019-07-31,ÓLEO DIESEL,NORTE,3.792150680527275,3.9696431250669812,3.618038581073839
SANTA CATARINA,2018-12-31,ETANOL HIDRATADO,SUL,3.461018867924528,3.6893584905660375,3.2353459119496852
SANTA CATARINA,2019-07-31,GASOLINA COMUM,SUL,4.01202380952381,4.16865668202765,3.8894115463389656
SANTA CATARINA,2019-07-31,ÓLEO DIESEL S10,SUL,3.5613801146411364,3.7600264650283552,3.353385511311666
ALAGOAS,2018-12-31,ÓLEO DIESEL,NORDESTE,3.743795454545454,3.9150227272727274,3.5905909090909094
PIAUI,2019-06-30,ÓLEO DIESEL,NORDESTE,3.7054252252252255,3.755153153153153,3.617584984984985
RIO GRANDE DO SUL,2019-01-31,ÓLEO DIESEL,SUL,3.357573174263045,3.50828774541032,3.2349061504604153
ALAGOAS,2019-08-31,GNV,NORDESTE,3.5260000000000002,3.528,3.5225000000000004
CEARA,2019-01-31,ÓLEO DIESEL S10,NORDESTE,3.7291321073258965,3.876571178776002,3.5569556225504977
MARANHAO,2018-12-31,ETANOL HIDRATADO,NORDESTE,3.6407906976744187,3.793790697674419,3.518069767441861
MATO GROSSO DO SUL,2019-02-28,ÓLEO DIESEL,CENTRO OESTE,3.516775297619047,3.7025300099206353,3.3289795386904766
MINAS GERAIS,2019-02-28,GNV,SUDESTE,2.735414835164835,2.736184065934066,2.7346456043956047
PARAIBA,2019-04-30,ETANOL HIDRATADO,NORDESTE,3.3190999999999997,3.450908193041527,3.1827092031425366
PARANA,2019-02-28,GASOLINA COMUM,SUL,4.086944748358862,4.2818500312597685,3.9391393599562363
PIAUI,2019-01-31,ÓLEO DIESEL S10,NORDESTE,3.662104708215889,3.8338436162438665,3.503213070257855
ACRE,2018-12-31,ÓLEO DIESEL,NORTE,4.416888888888889,4.5600000000000005,4.293333333333333
CEARA,2018-12-31,GASOLINA COMUM,NORDESTE,4.411709677419354,4.543073732718894,4.3075161290322574
CEARA,2019-04-30,GLP,NORDESTE,74.30571526717559,78.74351145038167,70.52137404580152
GOIAS,2019-01-31,GLP,CENTRO OESTE,71.60453970461006,75.54878877765417,68.221789642813
PARA,2019-02-28,ÓLEO DIESEL,NORTE,3.762690828402367,3.881844146238377,3.6474762256973796
PARAIBA,2018-12-31,GNV,NORDESTE,3.72925,3.7398750000000005,3.722
