MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
FRANCA,2019-01-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.345548387096774,2.252612903225806,2.534548387096774,110.0
JOAO MONLEVADE,2019-01-31,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,2.8889354838709678,2.779032258064516,3.0310967741935486,40.0
PALMEIRA DOS INDIOS,2019-01-31,ETANOL HIDRATADO,ALAGOAS,NORDESTE,3.4021612903225797,3.255161290322581,3.498903225806452,37.0
ASSIS,2018-12-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4,3.169,3.589,13.0
CAICO,2019-01-31,ÓLEO DIESEL,RIO GRANDE DO NORTE,NORDESTE,3.55758064516129,3.5064516129032257,3.600322580645161,32.0
CORONEL FABRICIANO,2019-01-31,ÓLEO DIESEL,MINAS GERAIS,SUDESTE,3.4981935483870967,3.460677419354839,3.5325483870967744,15.0
JARAGUA DO SUL,2018-12-31,ÓLEO DIESEL,SANTA CATARINA,SUL,3.309,3.049,3.599,6.0
MANAUS,2018-12-31,ÓLEO DIESEL,AMAZONAS,NORTE,3.695,3.55,3.85,30.0
PALMAS,2019-01-31,ÓLEO DIESEL,TOCANTINS,NORTE,3.4323225806451614,3.2034193548387098,3.593548387096774,28.0
PARAGUACU PAULISTA,2019-01-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4610000000000003,3.317709677419355,3.599,30.0
PETROPOLIS,2018-12-31,ÓLEO DIESEL,RIO DE JANEIRO,SUDESTE,3.624,3.549,3.799,9.0
PRESIDENTE PRUDENTE,2019-01-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.38758064516129,3.281483870967742,3.4822258064516127,56.0
SAO ROQUE,2018-12-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.349,3.199,3.499,2.0
ITABAIANA,2019-01-31,ÓLEO DIESEL S10,SERGIPE,NORDESTE,3.419935483870968,3.308064516129032,3.5384193548387097,35.0
PELOTAS,2019-01-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.608580645161291,3.3969354838709678,3.8751290322580645,59.0
BRAGANCA PAULISTA,2018-12-31,GASOLINA COMUM,SAO PAULO,SUDESTE,3.981,3.899,4.099,13.0
FORMOSA,2019-01-31,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.359354838709677,4.221322580645161,4.497387096774194,55.0
LINHARES,2019-01-31,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.596290322580645,4.410354838709678,4.704516129032258,55.0
BRASILIA,2018-12-31,GLP,DISTRITO FEDERAL,CENTRO OESTE,73.095,65.0,95.0,42.0
FRUTAL,2018-12-31,GLP,MINAS GERAIS,SUDESTE,70.4,70.0,72.0,5.0
JAGUAQUARA,2018-12-31,GLP,BAHIA,NORDESTE,55.0,55.0,55.0,2.0
JALES,2018-12-31,GLP,SAO PAULO,SUDESTE,70.58,68.0,75.0,5.0
PARA DE MINAS,2019-01-31,GLP,MINAS GERAIS,SUDESTE,71.08609677419355,67.06451612903226,77.16129032258064,15.0
TOLEDO,2018-12-31,GLP,PARANA,SUL,76.75,70.0,80.0,12.0
BAURU,2018-12-31,GNV,SAO PAULO,SUDESTE,3.359,3.359,3.359,1.0
CAMETA,2019-02-28,ETANOL HIDRATADO,PARA,NORTE,3.0749999999999997,3.0749999999999997,3.0749999999999997,4.0
JOAO MONLEVADE,2019-02-28,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,2.8852499999999996,2.758035714285714,3.0496785714285717,40.0
ALVORADA,2019-02-28,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.484857142857143,3.199,3.799,12.0
ITACOATIARA,2019-02-28,ÓLEO DIESEL,AMAZONAS,NORTE,3.8482857142857143,3.7925,3.9707142857142856,46.0
XINGUARA,2019-02-28,ÓLEO DIESEL,PARA,NORTE,3.6224642857142855,3.4894285714285713,3.8125,27.0
PARAISO DO TOCANTINS,2019-02-28,ÓLEO DIESEL S10,TOCANTINS,NORTE,3.6547857142857145,3.332571428571429,4.800000000000001,40.0
PARAUAPEBAS,2019-02-28,ÓLEO DIESEL S10,PARA,NORTE,4.054107142857142,3.9542857142857146,4.144821428571428,45.0
GRAMADO,2019-02-28,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.6818928571428575,4.628785714285714,4.725785714285714,30.0
JACAREI,2019-02-28,GASOLINA COMUM,SAO PAULO,SUDESTE,3.925,3.7725714285714287,4.068642857142858,80.0
LUZIANIA,2019-02-28,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.2039285714285715,4.076214285714285,4.3997142857142855,65.0
PASSO FUNDO,2019-02-28,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.17525,3.8996785714285718,4.551857142857143,60.0
BRUMADO,2019-02-28,GLP,BAHIA,NORDESTE,59.25,57.0,60.0,20.0
CORONEL FABRICIANO,2019-02-28,GLP,MINAS GERAIS,SUDESTE,71.32857142857142,66.25,75.0,25.0
PARACATU,2019-02-28,GLP,MINAS GERAIS,SUDESTE,67.74107142857143,65.0,70.0,40.0
TATUI,2019-02-28,GLP,SAO PAULO,SUDESTE,69.85267857142857,65.0,75.67857142857143,40.0
UBATUBA,2019-02-28,GLP,SAO PAULO,SUDESTE,66.20092857142856,60.0,70.0,55.0
ARAGUAINA,2019-03-31,ÓLEO DIESEL,TOCANTINS,NORTE,3.4461612903225802,3.3402903225806453,3.5932258064516125,48.0
ITAPEVA,2019-03-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.581096774193548,3.2873870967741934,3.8279999999999994,42.0
ITU,2019-03-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.409548387096774,3.299,3.638354838709678,54.0
AMERICANA,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.441258064516129,3.266967741935484,3.569967741935484,60.0
MINEIROS,2019-03-31,ÓLEO DIESEL S10,GOIAS,CENTRO OESTE,3.655838709677419,3.5980967741935483,3.769677419354839,42.0
ARARUAMA,2019-03-31,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,4.746935483870968,4.583612903225807,4.914645161290322,66.0
LINHARES,2019-03-31,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.449870967741935,4.360967741935483,4.889999999999999,66.0
RIO BRANCO,2019-03-31,GASOLINA COMUM,ACRE,NORTE,4.711870967741936,4.494193548387097,4.888064516129032,174.0
VITORIA DE SANTO ANTAO,2019-03-31,GNV,PERNAMBUCO,NORDESTE,1.9294193548387095,1.9154193548387095,1.9429677419354836,6.0
OLIMPIA,2019-04-30,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.7246666666666663,2.6356666666666664,2.8463333333333334,35.0
BACABAL,2019-04-30,ÓLEO DIESEL,MARANHAO,NORDESTE,3.576666666666667,3.5466666666666664,3.6066666666666674,10.0
SOROCABA,2019-04-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4195333333333338,3.2988,3.5323333333333338,47.0
ARARAS,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.5028000000000006,3.4036666666666666,3.5880000000000005,51.0
FEIRA DE SANTANA,2019-04-30,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.4962999999999997,3.356466666666667,3.775466666666667,106.0
MAFRA,2019-04-30,ÓLEO DIESEL S10,SANTA CATARINA,SUL,3.5475333333333334,3.3293333333333335,3.6923333333333335,31.0
PALMEIRA DOS INDIOS,2019-04-30,ÓLEO DIESEL S10,ALAGOAS,NORDESTE,3.8307,3.7656666666666667,3.9358000000000004,30.0
POCOS DE CALDAS,2019-04-30,ÓLEO DIESEL S10,MINAS GERAIS,SUDESTE,3.744466666666667,3.6094,3.8701333333333334,42.0
PORTO FERREIRA,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.541266666666667,3.38,3.6990000000000003,23.0
VITORIA,2019-04-30,ÓLEO DIESEL S10,ESPIRITO SANTO,SUDESTE,3.621433333333334,3.507,3.6972,90.0
XANXERE,2019-04-30,ÓLEO DIESEL S10,SANTA CATARINA,SUL,3.4302,3.355,3.5252,20.0
ARARAS,2019-04-30,GASOLINA COMUM,SAO PAULO,SUDESTE,4.214866666666667,4.140333333333333,4.3114,70.0
MACAE,2019-04-30,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,4.9587666666666665,4.7991,5.037533333333333,50.0
PARANAGUA,2019-04-30,GASOLINA COMUM,PARANA,SUL,4.2594666666666665,4.119666666666667,4.470333333333334,40.0
ARARIPINA,2019-04-30,GLP,PERNAMBUCO,NORDESTE,71.66700000000002,70.0,75.0,15.0
GOIANIA,2019-04-30,GLP,GOIAS,CENTRO OESTE,75.43323333333332,73.86666666666666,77.3,180.0
JUAZEIRO DO NORTE,2019-04-30,GLP,CEARA,NORDESTE,68.63,66.6,71.93333333333334,50.0
BENTO GONCALVES,2019-05-31,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.499,3.499,3.499,5.0
CAICO,2019-05-31,ÓLEO DIESEL,RIO GRANDE DO NORTE,NORDESTE,3.7238387096774193,3.6748387096774193,3.773870967741935,35.0
SAO GABRIEL,2019-05-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.74741935483871,3.6335161290322575,3.7984516129032255,32.0
SALGUEIRO,2019-05-31,GASOLINA COMUM,PERNAMBUCO,NORDESTE,4.869870967741935,4.849,4.897,33.0
SAPIRANGA,2019-05-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.651903225806452,4.613967741935483,4.682225806451613,45.0
OSASCO,2019-05-31,GLP,SAO PAULO,SUDESTE,70.60967741935482,65.0,78.0,100.0
PARNAIBA,2019-05-31,GLP,PIAUI,NORDESTE,82.69354838709677,82.0,83.38709677419355,10.0
BAURU,2019-06-30,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.4705000000000004,2.3262333333333336,2.622333333333333,162.0
ERECHIM,2019-06-30,ETANOL HIDRATADO,RIO GRANDE DO SUL,SUL,4.098366666666667,3.7959666666666667,4.255833333333333,31.0
JARAGUA DO SUL,2019-06-30,ETANOL HIDRATADO,SANTA CATARINA,SUL,3.4155,3.2397666666666662,3.553266666666667,40.0
LEOPOLDINA,2019-06-30,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,3.051733333333333,2.930833333333333,3.2646333333333333,37.0
SALGUEIRO,2019-06-30,ETANOL HIDRATADO,PERNAMBUCO,NORDESTE,3.7176,3.691,3.7441999999999998,10.0
BAYEUX,2019-06-30,ÓLEO DIESEL,PARAIBA,NORDESTE,3.6268000000000002,3.5976333333333335,3.710866666666666,32.0
VALPARAISO DE GOIAS,2019-06-30,ÓLEO DIESEL,GOIAS,CENTRO OESTE,3.6129999999999995,3.5102333333333333,3.649,39.0
ARCOVERDE,2019-06-30,ÓLEO DIESEL S10,PERNAMBUCO,NORDESTE,3.455966666666667,3.3560333333333334,3.5919999999999996,43.0
GUAXUPE,2019-06-30,ÓLEO DIESEL S10,MINAS GERAIS,SUDESTE,3.662733333333333,3.484,3.7843333333333335,35.0
SERTAOZINHO,2019-06-30,GASOLINA COMUM,SAO PAULO,SUDESTE,4.4055,4.249266666666667,4.6614666666666675,66.0
ITUMBIARA,2019-06-30,GLP,GOIAS,CENTRO OESTE,73.84413333333333,70.0,75.0,36.0
MARINGA,2019-06-30,GLP,PARANA,SUL,77.95446666666666,73.13333333333334,80.63333333333333,108.0
SANTOS,2019-06-30,GNV,SAO PAULO,SUDESTE,1.6188666666666667,1.6188666666666667,1.6188666666666667,2.0
BARREIRAS,2019-07-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.2966129032258067,3.1632258064516128,3.386096774193548,56.0
CARUARU,2019-07-31,ETANOL HIDRATADO,PERNAMBUCO,NORDESTE,3.488806451612903,3.3871935483870965,3.6754838709677418,73.0
ADAMANTINA,2019-07-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4559032258064515,3.2506451612903224,3.6899999999999995,23.0
AMERICANA,2019-07-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.2381290322580645,3.1731935483870966,3.3285483870967743,30.0
AVARE,2019-07-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.6638709677419357,3.5477096774193546,3.7470645161290315,43.0
BRUMADO,2019-07-31,ÓLEO DIESEL,BAHIA,NORDESTE,3.502806451612903,3.4659032258064513,3.5780967741935483,24.0
CAMETA,2019-07-31,ÓLEO DIESEL,PARA,NORTE,3.785,3.59,3.9799999999999995,10.0
CODO,2019-07-31,ÓLEO DIESEL,MARANHAO,NORDESTE,3.8966451612903223,3.8609677419354838,3.9309677419354836,25.0
ABAETETUBA,2019-07-31,ÓLEO DIESEL S10,PARA,NORTE,3.9891935483870964,3.8125806451612902,4.284193548387097,19.0
MOGI GUACU,2019-07-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.581354838709677,3.3583548387096775,3.8773870967741932,46.0
PIMENTA BUENO,2019-07-31,ÓLEO DIESEL S10,RONDONIA,NORTE,3.752741935483871,3.6354838709677417,3.925806451612903,30.0
ARAPONGAS,2019-07-31,GASOLINA COMUM,PARANA,SUL,4.152516129032258,3.961612903225806,4.309354838709678,45.0
COLOMBO,2019-07-31,GASOLINA COMUM,PARANA,SUL,4.002580645161291,3.89,4.1375161290322575,81.0
IJUI,2019-07-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.652935483870968,4.579,4.785129032258064,40.0
NOVA LIMA,2019-07-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.674645161290322,4.487709677419355,4.898548387096774,35.0
PONTA PORA,2019-07-31,GASOLINA COMUM,MATO GROSSO DO SUL,CENTRO OESTE,4.446,4.397387096774193,4.493193548387096,12.0
SANTA CRUZ DO CAPIBARIBE,2019-07-31,GASOLINA COMUM,PERNAMBUCO,NORDESTE,4.310387096774193,4.196451612903226,4.522677419354839,50.0
ARAUCARIA,2019-07-31,GLP,PARANA,SUL,63.46909677419355,60.0,66.06451612903226,65.0
TRES CORACOES,2019-07-31,GLP,MINAS GERAIS,SUDESTE,68.22558064516129,66.99999999999999,70.0,45.0
GUARULHOS,2019-07-31,GNV,SAO PAULO,SUDESTE,2.9960645161290325,2.9673870967741935,3.0215806451612908,10.0
BACABAL,2019-08-31,ETANOL HIDRATADO,MARANHAO,NORDESTE,3.96,3.92,3.999,2.0
SENHOR DO BONFIM,2019-08-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.557,3.47,3.62,7.0
SOUSA,2019-08-31,ETANOL HIDRATADO,PARAIBA,NORDESTE,3.789,3.699,3.899,6.0
ALENQUER,2019-08-31,ÓLEO DIESEL,PARA,NORTE,3.917,3.8,4.05,3.0
ALFENAS,2019-08-31,ÓLEO DIESEL S10,MINAS GERAIS,SUDESTE,3.81,3.797,3.859,5.0
ITATIBA,2019-08-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.462,3.199,3.639,12.0
ARAPONGAS,2019-08-31,GASOLINA COMUM,PARANA,SUL,4.143,3.96,4.29,9.0
BENTO GONCALVES,2019-08-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.484,4.449,4.499,10.0
DELMIRO GOUVEIA,2019-08-31,GASOLINA COMUM,ALAGOAS,NORDESTE,4.913,4.748,5.11,7.0
SIMOES FILHO,2019-08-31,GASOLINA COMUM,BAHIA,NORDESTE,4.414,3.99,4.59,9.0
BIRIGUI,2019-08-31,GLP,SAO PAULO,SUDESTE,65.313,60.0,70.0,16.0
MARILIA,2019-08-31,GLP,SAO PAULO,SUDESTE,74.983,69.9,78.0,6.0
SANTA CRUZ DO CAPIBARIBE,2019-08-31,GLP,PERNAMBUCO,NORDESTE,67.0,65.0,70.0,5.0
SAPUCAIA,2019-08-31,GLP,RIO DE JANEIRO,SUDESTE,62.5,55.0,70.0,2.0
CORNELIO PROCOPIO,2018-12-31,ETANOL HIDRATADO,PARANA,SUL,2.883,2.79,2.99,6.0
GOIANA,2018-12-31,ETANOL HIDRATADO,PERNAMBUCO,NORDESTE,3.051,2.89,3.15,7.0
GURUPI,2019-01-31,ETANOL HIDRATADO,TOCANTINS,NORTE,3.7484193548387097,3.58,3.7989999999999995,35.0
JATAI,2018-12-31,ETANOL HIDRATADO,GOIAS,CENTRO OESTE,3.197,3.15,3.29,14.0
LEME,2018-12-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.547,2.44,2.797,17.0
RIO VERDE,2018-12-31,ETANOL HIDRATADO,GOIAS,CENTRO OESTE,3.179,3.14,3.29,16.0
SANTO ANTONIO DE JESUS,2019-01-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.165451612903226,3.0543870967741937,3.2828709677419354,30.0
TATUI,2019-01-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.7039354838709677,2.608677419354838,2.8544516129032256,50.0
FOZ DO IGUACU,2018-12-31,ÓLEO DIESEL,PARANA,SUL,3.317,3.12,3.56,10.0
GUAIBA,2018-12-31,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.363,3.28,3.38,6.0
JUAZEIRO DO NORTE,2018-12-31,ÓLEO DIESEL,CEARA,NORDESTE,3.778,3.699,3.91,6.0
LAJEADO,2019-01-31,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.2814838709677416,3.260967741935484,3.302,10.0
ARAPONGAS,2018-12-31,ÓLEO DIESEL S10,PARANA,SUL,3.307,3.19,3.39,6.0
ARARAQUARA,2018-12-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.484,3.23,3.799,12.0
CARAPICUIBA,2018-12-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.589,3.299,3.84,7.0
COLOMBO,2018-12-31,ÓLEO DIESEL S10,PARANA,SUL,3.227,3.09,3.39,11.0
IRECE,2018-12-31,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.747,3.64,3.879,6.0
SANTA CRUZ DO SUL,2018-12-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.774,3.589,3.929,11.0
BELO JARDIM,2018-12-31,GASOLINA COMUM,PERNAMBUCO,NORDESTE,4.26,4.09,4.295,7.0
CAXIAS DO SUL,2018-12-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.565,4.449,4.799,15.0
ITUMBIARA,2019-01-31,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.372,4.243064516129032,4.644806451612903,85.0
PIRIPIRI,2019-01-31,GASOLINA COMUM,PIAUI,NORDESTE,4.503032258064517,4.381225806451613,4.585129032258065,25.0
TATUI,2018-12-31,GLP,SAO PAULO,SUDESTE,71.125,65.0,75.0,8.0
VARZEA PAULISTA,2019-01-31,GLP,SAO PAULO,SUDESTE,65.19332258064516,62.0,67.99999999999999,30.0
CABEDELO,2019-01-31,GNV,PARAIBA,NORDESTE,3.7359354838709673,3.7359354838709673,3.7359354838709673,5.0
JALES,2019-02-28,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.6088214285714284,2.5678571428571426,2.6914285714285713,45.0
ADAMANTINA,2019-02-28,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.384857142857143,3.1596428571428574,3.6525,23.0
SAO JOSE DOS CAMPOS,2019-02-28,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.1791428571428573,3.029071428571428,3.34175,29.0
VACARIA,2019-02-28,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.433071428571428,3.367892857142857,3.5288214285714288,29.0
JUAZEIRO,2019-02-28,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.763214285714286,3.6436428571428574,3.9615,41.0
NOVA FRIBURGO,2019-02-28,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.6118928571428572,3.381607142857143,3.7916071428571425,47.0
ARACRUZ,2019-02-28,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.45075,4.1274999999999995,4.6867857142857146,30.0
SANTANA DO LIVRAMENTO,2019-02-28,GLP,RIO GRANDE DO SUL,SUL,63.41553571428571,56.607142857142854,69.0,55.0
CRICIUMA,2019-02-28,GNV,SANTA CATARINA,SUL,2.8777500000000003,2.7989999999999995,2.912178571428571,23.0
LINHARES,2019-02-28,GNV,ESPIRITO SANTO,SUDESTE,2.5925000000000002,2.5925000000000002,2.5925000000000002,4.0
GUARULHOS,2019-03-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.7726451612903227,2.5154516129032256,3.0946129032258063,150.0
MOCOCA,2019-03-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.7556129032258063,2.624806451612903,2.967354838709678,60.0
PORTO VELHO,2019-03-31,ÓLEO DIESEL,RONDONIA,NORTE,3.766064516129032,3.5722258064516126,3.9977419354838704,122.0
SERRA,2019-03-31,ÓLEO DIESEL,ESPIRITO SANTO,SUDESTE,3.437548387096774,3.3912903225806454,3.476451612903226,56.0
MARILIA,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.6401935483870966,3.469967741935484,4.441161290322581,65.0
TRINDADE,2019-03-31,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.276193548387097,4.166322580645161,4.411419354838709,42.0
GUARUJA,2019-03-31,GLP,SAO PAULO,SUDESTE,73.97664516129032,67.7348387096774,83.70967741935482,30.0
PIRACICABA,2019-03-31,GLP,SAO PAULO,SUDESTE,66.20412903225807,62.41935483870968,70.0,96.0
SAPUCAIA DO SUL,2019-03-31,GLP,RIO GRANDE DO SUL,SUL,68.45929032258064,62.032258064516135,76.03225806451613,114.0
DRACENA,2019-04-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4170666666666665,3.2416666666666667,3.5323333333333338,31.0
ARACATUBA,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.5878666666666668,3.379666666666667,3.8430000000000004,91.0
BOM DESPACHO,2019-04-30,ÓLEO DIESEL S10,MINAS GERAIS,SUDESTE,3.6154333333333333,3.4776666666666665,3.7421333333333338,23.0
SAO VICENTE,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.582966666666667,3.412333333333333,3.8216666666666668,49.0
APARECIDA DE GOIANIA,2019-04-30,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.5842,4.5318000000000005,4.6372,65.0
ARARANGUA,2019-04-30,GASOLINA COMUM,SANTA CATARINA,SUL,4.183833333333333,4.130866666666667,4.251666666666666,55.0
OSORIO,2019-04-30,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.625433333333333,4.474666666666666,4.696,30.0
MARACANAU,2019-04-30,GLP,CEARA,NORDESTE,78.25923333333333,75.66666666666667,80.93333333333334,45.0
RIO CLARO,2019-04-30,GLP,SAO PAULO,SUDESTE,61.22233333333334,59.33333333333333,65.0,30.0
PAULINIA,2019-04-30,GNV,SAO PAULO,SUDESTE,0.559,0.559,0.559,1.0
CACOAL,2019-05-31,ETANOL HIDRATADO,RONDONIA,NORTE,4.198354838709678,4.135806451612903,4.266774193548387,12.0
FRANCA,2019-05-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.445,3.3659354838709676,3.543064516129032,68.0
CARUARU,2019-05-31,GASOLINA COMUM,PERNAMBUCO,NORDESTE,4.435741935483871,4.359129032258064,4.662419354838709,80.0
SAO FRANCISCO DE ITABAPOANA,2019-05-31,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,5.107903225806451,4.927096774193548,5.199,35.0
SUZANO,2019-05-31,GASOLINA COMUM,SAO PAULO,SUDESTE,4.253548387096774,4.025774193548386,4.486096774193548,70.0
PAULISTA,2019-05-31,GLP,PERNAMBUCO,NORDESTE,66.20161290322581,65.0,70.0,40.0
CONGONHAS,2019-06-30,ETANOL HIDRATADO,MINAS GERAIS,SUDESTE,3.043633333333333,2.980833333333333,3.121933333333333,31.0
PORTO VELHO,2019-06-30,ETANOL HIDRATADO,RONDONIA,NORTE,3.7900666666666667,3.59,4.073066666666667,72.0
RIBEIRAO PRETO,2019-06-30,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.4653666666666667,2.2849333333333335,2.7606666666666664,203.0
ADAMANTINA,2019-06-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4907666666666666,3.3386666666666667,3.6687666666666665,26.0
AMERICANA,2019-06-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.3137333333333334,3.2536666666666663,3.4016666666666673,27.0
CHAPECO,2019-06-30,ÓLEO DIESEL,SANTA CATARINA,SUL,3.631366666666667,3.5046000000000004,3.7159666666666666,24.0
PORTO SEGURO,2019-06-30,ÓLEO DIESEL,BAHIA,NORDESTE,4.324199999999999,4.121333333333333,4.626900000000001,26.0
PARNAMIRIM,2019-06-30,GASOLINA COMUM,RIO GRANDE DO NORTE,NORDESTE,4.503066666666667,4.406000000000001,4.646766666666667,70.0
SINOP,2019-06-30,GASOLINA COMUM,MATO GROSSO,CENTRO OESTE,4.594633333333333,4.32,4.757333333333333,69.0
ALVORADA,2019-06-30,GLP,RIO GRANDE DO SUL,SUL,65.9953,62.46666666666667,69.0,42.0
CUBATAO,2019-06-30,GLP,SAO PAULO,SUDESTE,78.49326666666667,69.833,83.83333333333334,30.0
ITACOATIARA,2019-06-30,GLP,AMAZONAS,NORTE,84.82916666666667,78.13333333333333,90.0,48.0
CAMACARI,2019-07-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.2913225806451614,3.0530322580645164,3.552677419354839,60.0
SANTO ANTONIO DA PLATINA,2019-07-31,ETANOL HIDRATADO,PARANA,SUL,2.975096774193548,2.89,2.99,40.0
VITORIA DA CONQUISTA,2019-07-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.382290322580645,3.270935483870968,3.606741935483871,50.0
CAXIAS,2019-07-31,ÓLEO DIESEL,MARANHAO,NORDESTE,3.507806451612903,3.3864193548387096,3.7309354838709674,30.0
SAO MATEUS,2019-07-31,ÓLEO DIESEL,ESPIRITO SANTO,SUDESTE,3.685032258064516,3.5429032258064517,3.9060967741935486,35.0
COLATINA,2019-07-31,ÓLEO DIESEL S10,ESPIRITO SANTO,SUDESTE,3.7439354838709678,3.577290322580645,3.900322580645161,45.0
LAJEADO,2019-07-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.481483870967742,3.3318709677419354,3.6838709677419352,28.0
PARAGUACU PAULISTA,2019-07-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.6750645161290323,3.636096774193548,3.699,39.0
BARRA DO CORDA,2019-07-31,GASOLINA COMUM,MARANHAO,NORDESTE,4.646483870967741,4.62258064516129,4.687935483870967,15.0
GRAMADO,2019-07-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.617612903225806,4.499,4.698999999999999,30.0
SAO JOSE,2019-07-31,GASOLINA COMUM,SANTA CATARINA,SUL,3.8936129032258067,3.787935483870968,4.114709677419355,85.0
ARARAS,2019-07-31,GLP,SAO PAULO,SUDESTE,69.52658064516129,65.9,77.32258064516128,35.0
CASTANHAL,2019-07-31,GLP,PARA,NORTE,77.43225806451612,73.06451612903226,84.99999999999999,25.0
OSASCO,2019-07-31,GLP,SAO PAULO,SUDESTE,70.87496774193548,65.0,78.0,100.0
PRESIDENTE DUTRA,2019-07-31,GLP,MARANHAO,NORDESTE,73.36564516129032,71.25806451612902,74.99999999999999,15.0
ARACAJU,2019-08-31,ETANOL HIDRATADO,SERGIPE,NORDESTE,3.553,3.38,3.699,20.0
CORUMBA,2019-08-31,ETANOL HIDRATADO,MATO GROSSO DO SUL,CENTRO OESTE,3.553,3.54,3.56,7.0
