MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
MACAE,2019-01-31,GASOLINA COMUM,RIO DE JANEIRO,SUDESTE,4.919548387096774,4.87774193548387,4.993483870967742,50.0
SOUSA,2018-12-31,GASOLINA COMUM,PARAIBA,NORDESTE,4.528,4.299,4.699,7.0
UBA,2019-01-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.63341935483871,4.5,4.76158064516129,35.0
JAU,2019-01-31,GLP,SAO PAULO,SUDESTE,69.39777419354837,65.48387096774194,71.74193548387096,45.0
SERTAOZINHO,2018-12-31,GLP,SAO PAULO,SUDESTE,69.444,65.0,71.0,9.0
SOROCABA,2018-12-31,GLP,SAO PAULO,SUDESTE,70.064,65.0,76.0,15.0
ARACAJU,2019-01-31,GNV,SERGIPE,NORDESTE,2.2299032258064515,2.2171290322580646,2.2364838709677417,8.0
SAO JOAO DA BOA VISTA,2019-02-28,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.5766428571428572,2.368392857142857,2.7750714285714286,70.0
FORMOSA,2019-02-28,ÓLEO DIESEL,GOIAS,CENTRO OESTE,3.5543571428571425,3.3618571428571427,3.6882857142857146,30.0
IJUI,2019-02-28,ÓLEO DIESEL,RIO GRANDE DO SUL,SUL,3.3906071428571427,3.199,3.5395000000000003,36.0
FRANCISCO BELTRAO,2019-02-28,ÓLEO DIESEL S10,PARANA,SUL,3.3715,3.177142857142857,3.5382142857142855,34.0
PORTO NACIONAL,2019-02-28,ÓLEO DIESEL S10,TOCANTINS,NORTE,3.314285714285714,3.1732142857142858,3.5721428571428575,25.0
CURVELO,2019-02-28,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.644785714285714,4.509285714285715,4.776464285714286,32.0
